"","Created.Date","Agency","Agency.Name","Complaint.Type","Descriptor","Incident.Zip","Borough","Latitude","Longitude","year","month"
"1376845","08/09/2015 02:37:05 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10036","MANHATTAN",40.7588326308122,-73.9915173520009,2015,8
"1377096","08/09/2015 01:18:26 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10011","MANHATTAN",40.7477166415446,-74.0042586614721,2015,8
"1377404","08/09/2015 11:50:16 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10011","MANHATTAN",40.7391695620871,-74.0011691773852,2015,8
"1377442","08/09/2015 11:34:37 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10024","MANHATTAN",40.7851884021036,-73.9771383391215,2015,8
"1377870","08/09/2015 08:51:50 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10016","MANHATTAN",40.7442566875274,-73.9805122221763,2015,8
"1377878","08/09/2015 08:48:11 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10016","MANHATTAN",40.7443747662688,-73.9808369845152,2015,8
"1377937","08/09/2015 08:26:03 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10003","MANHATTAN",40.7312121096427,-73.9901858557692,2015,8
"1377958","08/09/2015 08:10:23 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10023","MANHATTAN",40.7774628469474,-73.9820767465154,2015,8
"1378018","08/09/2015 07:09:31 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10011","MANHATTAN",40.7375609410717,-73.9931763547525,2015,8
"1378060","08/09/2015 06:26:04 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10027","MANHATTAN",40.8051373331828,-73.9452398245953,2015,8
"1378524","08/09/2015 12:04:16 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10014","MANHATTAN",40.7325821239931,-74.0028973969966,2015,8
"1378751","08/08/2015 11:12:37 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10009","MANHATTAN",40.7312495982913,-73.9823273140768,2015,8
"1379387","08/08/2015 07:54:46 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10014","MANHATTAN",40.7325821239931,-74.0028973969966,2015,8
"1379540","08/08/2015 06:59:03 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10003","MANHATTAN",40.7339788841558,-73.9909431893929,2015,8
"1379645","08/08/2015 06:24:45 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10016","MANHATTAN",40.7414955855463,-73.9812167259446,2015,8
"1379853","08/08/2015 05:13:08 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10016","MANHATTAN",40.743944270895,-73.9836267345995,2015,8
"1379943","08/08/2015 04:40:58 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10023","MANHATTAN",40.7748630097861,-73.9787196752536,2015,8
"1380114","08/08/2015 03:48:14 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10010","MANHATTAN",40.7415544566371,-73.9916819433838,2015,8
"1380228","08/08/2015 03:06:00 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10024","MANHATTAN",40.7828613537062,-73.9797354041083,2015,8
"1380477","08/08/2015 01:40:03 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10016","MANHATTAN",40.7451267981203,-73.980659932351,2015,8
"1380577","08/08/2015 01:11:13 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10016","MANHATTAN",40.7442868913573,-73.9805807814808,2015,8
"1380746","08/08/2015 12:20:45 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10036","MANHATTAN",40.7586102662385,-73.9909867653842,2015,8
"1381131","08/08/2015 10:38:43 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10035","MANHATTAN",40.8047731325426,-73.9413823698827,2015,8
"1381138","08/08/2015 10:36:35 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10035","MANHATTAN",40.8053959359274,-73.9408941793497,2015,8
"1381274","08/08/2015 10:08:07 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10011","MANHATTAN",40.7386864178121,-73.9958754319096,2015,8
"1381622","08/08/2015 08:26:13 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10023","MANHATTAN",40.7807703479725,-73.9826933075985,2015,8
"1381641","08/08/2015 08:17:51 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10003","MANHATTAN",40.7310968106522,-73.9899621683783,2015,8
"1381719","08/08/2015 07:41:31 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10014","MANHATTAN",40.7338336817065,-74.0044670546149,2015,8
"1381765","08/08/2015 07:17:00 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10021","MANHATTAN",40.7717376891232,-73.9612430318193,2015,8
"1381914","08/08/2015 04:34:27 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10014","MANHATTAN",40.7337238926645,-74.0044381810367,2015,8
"1381940","08/08/2015 04:03:04 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10014","MANHATTAN",40.7337238926645,-74.0044381810367,2015,8
"1382521","08/07/2015 11:18:13 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10010","MANHATTAN",40.7423202235929,-73.9914292357799,2015,8
"1382548","08/07/2015 11:05:16 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10011","MANHATTAN",40.7387249181465,-74.0001118649909,2015,8
"1383082","08/07/2015 08:13:51 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10011","MANHATTAN",40.7391695620871,-74.0011691773852,2015,8
"1383418","08/07/2015 06:23:19 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10011","MANHATTAN",40.7373607329108,-73.9968389765886,2015,8
"1383671","08/07/2015 05:14:48 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10017","MANHATTAN",NA,NA,2015,8
"1383819","08/07/2015 04:48:30 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10016","MANHATTAN",40.743944270895,-73.9836267345995,2015,8
"1383960","08/07/2015 04:19:47 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10026","MANHATTAN",40.8016484337194,-73.957404163319,2015,8
"1384159","08/07/2015 03:40:04 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10036","MANHATTAN",40.7591867587776,-73.9923150410211,2015,8
"1384395","08/07/2015 02:55:01 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10016","MANHATTAN",40.7458234947049,-73.9780396449695,2015,8
"1384463","08/07/2015 02:40:53 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10016","MANHATTAN",40.7496275847387,-73.9773598728681,2015,8
"1384861","08/07/2015 01:41:26 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10001","MANHATTAN",40.7466186546504,-73.993814215708,2015,8
"1385024","08/07/2015 01:17:14 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10025","MANHATTAN",40.7944478170899,-73.9712880296288,2015,8
"1386221","08/07/2015 10:58:47 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10010","MANHATTAN",40.7403270321139,-73.9862474924698,2015,8
"1386418","08/07/2015 10:36:45 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10002","MANHATTAN",40.7194399257983,-73.9911688303391,2015,8
"1386591","08/07/2015 10:13:11 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10010","MANHATTAN",40.7426738425788,-73.9866584069171,2015,8
"1386826","08/07/2015 09:37:38 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10028","MANHATTAN",40.7756611989113,-73.9502755076105,2015,8
"1386984","08/07/2015 09:09:55 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10023","MANHATTAN",40.7779294526961,-73.9820802315956,2015,8
"1387162","08/07/2015 08:36:08 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10025","MANHATTAN",40.8054532294057,-73.9677216867423,2015,8
"1387428","08/07/2015 07:15:15 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10017","MANHATTAN",40.7524240632401,-73.9753196734127,2015,8
"1387497","08/07/2015 06:29:47 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10027","MANHATTAN",40.8038779250144,-73.9461330446697,2015,8
"1387498","08/07/2015 06:29:40 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10028","MANHATTAN",40.7786329012797,-73.9625460959688,2015,8
"1387503","08/07/2015 06:28:28 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10023","MANHATTAN",NA,NA,2015,8
"1387604","08/07/2015 04:10:04 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10038","MANHATTAN",40.7084227810954,-74.0016195015607,2015,8
