"","Created.Date","Agency","Agency.Name","Complaint.Type","Descriptor","Incident.Zip","Borough","Latitude","Longitude","year","month"
"2465023","01/30/2015 09:11:08 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10018","MANHATTAN",40.7543834826924,-73.9927415039341,2015,1
"2465225","01/30/2015 07:57:41 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10035","MANHATTAN",40.807653988936,-73.9392485840383,2015,1
"2467993","01/29/2015 09:32:47 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10011","MANHATTAN",40.7371796132553,-73.9985313549874,2015,1
"2468254","01/29/2015 07:24:07 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10026","MANHATTAN",40.7994205170276,-73.9524356987475,2015,1
"2468257","01/29/2015 07:22:59 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10013","MANHATTAN",40.7192642906907,-74.0084379294933,2015,1
"2468488","01/29/2015 06:01:15 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10012","MANHATTAN",40.7270430403022,-73.9931521763246,2015,1
"2469031","01/29/2015 03:21:15 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10013","MANHATTAN",40.7191518350576,-74.0072726965153,2015,1
"2469466","01/29/2015 01:58:52 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10038","MANHATTAN",40.709575414958,-74.0064023718926,2015,1
"2469759","01/29/2015 01:01:43 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10026","MANHATTAN",40.8034265197673,-73.9560810129221,2015,1
"2470561","01/29/2015 10:36:11 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10016","MANHATTAN",40.7473391496212,-73.9811645521649,2015,1
"2470913","01/29/2015 09:28:51 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10013","MANHATTAN",40.7186689837219,-74.0008802207796,2015,1
"2471142","01/29/2015 08:25:33 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10003","MANHATTAN",40.7283603561912,-73.9907599456678,2015,1
"2474379","01/28/2015 10:07:17 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10011","MANHATTAN",40.7430971077087,-73.9932263107281,2015,1
"2477016","01/28/2015 11:36:52 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10011","MANHATTAN",40.7367239893575,-74.0009959293653,2015,1
"2477613","01/28/2015 09:43:36 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10011","MANHATTAN",40.7325903588891,-73.9971278601565,2015,1
"2478491","01/28/2015 12:10:41 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10038","MANHATTAN",40.7105331352385,-74.0093530078086,2015,1
"2481330","01/27/2015 11:27:33 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10016","MANHATTAN",40.746175388461,-73.9812406691755,2015,1
"2481512","01/27/2015 09:24:18 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10032","MANHATTAN",40.8414019805202,-73.9425680528079,2015,1
"2481573","01/27/2015 08:46:44 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10001","MANHATTAN",40.7537441511406,-73.9971846978679,2015,1
"2482536","01/27/2015 01:20:55 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10005","MANHATTAN",40.7068194908306,-74.0091000092884,2015,1
"2483071","01/27/2015 07:45:13 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10038","MANHATTAN",40.7082660467035,-74.0082309440472,2015,1
"2486020","01/26/2015 09:05:19 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10013","MANHATTAN",40.7235102878228,-74.0102206828882,2015,1
"2486029","01/26/2015 08:58:56 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10038","MANHATTAN",40.7082660467035,-74.0082309440472,2015,1
"2486061","01/26/2015 08:25:30 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10028","MANHATTAN",40.7796020396712,-73.9555190046422,2015,1
"2486155","01/26/2015 07:04:12 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10028","MANHATTAN",40.7794977592303,-73.9555696249163,2015,1
"2486295","01/26/2015 05:41:05 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10017","MANHATTAN",40.756604558652,-73.9765020459933,2015,1
"2486307","01/26/2015 05:31:08 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10019","MANHATTAN",40.7617498123741,-73.9864813156658,2015,1
"2486330","01/26/2015 05:21:20 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10002","MANHATTAN",40.7193987393012,-73.9909740307031,2015,1
"2486402","01/26/2015 04:45:46 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10025","MANHATTAN",40.7948921938167,-73.9702260296761,2015,1
